dt_ps,C_snapshot
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.641510915852611108e-01
4.000000000000000000e+01,5.504081775211445704e-01
6.000000000000000000e+01,5.459130218893492037e-01
8.000000000000000000e+01,5.393648048824656316e-01
1.000000000000000000e+02,5.405342788813274346e-01
1.200000000000000000e+02,5.318352041321485757e-01
1.400000000000000000e+02,5.314456587171562107e-01
1.600000000000000000e+02,5.306911825412604644e-01
1.800000000000000000e+02,5.326816243437362264e-01
2.000000000000000000e+02,5.275183265720435610e-01
2.200000000000000000e+02,5.278320306939129347e-01
2.400000000000000000e+02,5.271047848250316470e-01
2.600000000000000000e+02,5.255580327147643116e-01
2.800000000000000000e+02,5.250065690680136843e-01
3.000000000000000000e+02,5.244276798382592197e-01
3.200000000000000000e+02,5.223668854405626449e-01
3.400000000000000000e+02,5.220419463893574141e-01
3.600000000000000000e+02,5.221961594513576665e-01
3.800000000000000000e+02,5.236580214425521351e-01
4.000000000000000000e+02,5.239446942266416940e-01
4.200000000000000000e+02,5.215387891227957207e-01
4.400000000000000000e+02,5.220103274549073857e-01
4.600000000000000000e+02,5.201096334390575837e-01
4.800000000000000000e+02,5.212694583853808572e-01
5.000000000000000000e+02,5.212017559485319085e-01
5.200000000000000000e+02,5.198549159392903407e-01
5.400000000000000000e+02,5.189414113696848574e-01
5.600000000000000000e+02,5.207819738128971476e-01
5.800000000000000000e+02,5.204869858093700286e-01
6.000000000000000000e+02,5.181994321373692980e-01
6.200000000000000000e+02,5.164903431352341201e-01
6.400000000000000000e+02,5.183267048835469293e-01
6.600000000000000000e+02,5.188798769027879176e-01
6.800000000000000000e+02,5.196997397837207489e-01
7.000000000000000000e+02,5.199405855162539947e-01
7.200000000000000000e+02,5.196176746380268829e-01
7.400000000000000000e+02,5.176902220148945633e-01
7.600000000000000000e+02,5.198457538763806562e-01
7.800000000000000000e+02,5.186807402275790402e-01
8.000000000000000000e+02,5.188096866180857969e-01
8.200000000000000000e+02,5.168902540952571290e-01
8.400000000000000000e+02,5.177452499444739065e-01
8.600000000000000000e+02,5.181792890107691507e-01
8.800000000000000000e+02,5.192733675088544443e-01
9.000000000000000000e+02,5.183017383313103243e-01
9.200000000000000000e+02,5.175851408830828282e-01
9.400000000000000000e+02,5.190072602524673506e-01
9.600000000000000000e+02,5.190093284432145682e-01
9.800000000000000000e+02,5.187803966494665131e-01
1.000000000000000000e+03,5.194406836584097853e-01
1.020000000000000000e+03,5.170830466466481701e-01
1.040000000000000000e+03,5.190665058629844175e-01
1.060000000000000000e+03,5.209040538284855915e-01
1.080000000000000000e+03,5.190889203243639338e-01
1.100000000000000000e+03,5.183581993330386162e-01
1.120000000000000000e+03,5.189163032772532436e-01
1.140000000000000000e+03,5.186337980058087771e-01
1.160000000000000000e+03,5.206966544187243695e-01
1.180000000000000000e+03,5.189678093194447506e-01
1.200000000000000000e+03,5.190541806329149743e-01
1.220000000000000000e+03,5.190685410966041635e-01
1.240000000000000000e+03,5.180105952402797032e-01
1.260000000000000000e+03,5.194201662571192868e-01
1.280000000000000000e+03,5.175782442761934776e-01
1.300000000000000000e+03,5.165444106849820249e-01
1.320000000000000000e+03,5.175854938600760180e-01
1.340000000000000000e+03,5.171096932722727413e-01
1.360000000000000000e+03,5.172483862804905241e-01
1.380000000000000000e+03,5.171872807819098972e-01
1.400000000000000000e+03,5.178385391243038871e-01
1.420000000000000000e+03,5.183127657538799671e-01
1.440000000000000000e+03,5.177054240518583761e-01
1.460000000000000000e+03,5.167165938894652255e-01
1.480000000000000000e+03,5.174842718962845423e-01
1.500000000000000000e+03,5.167558811026919940e-01
1.520000000000000000e+03,5.190783851888030043e-01
1.540000000000000000e+03,5.184781964239462138e-01
1.560000000000000000e+03,5.187015589470292953e-01
1.580000000000000000e+03,5.171251391657579743e-01
1.600000000000000000e+03,5.168867034910448188e-01
1.620000000000000000e+03,5.157643266818187078e-01
1.640000000000000000e+03,5.170676566293814780e-01
1.660000000000000000e+03,5.169471124518614236e-01
1.680000000000000000e+03,5.194011301445714546e-01
1.700000000000000000e+03,5.182706384244395448e-01
1.720000000000000000e+03,5.171279149061763780e-01
1.740000000000000000e+03,5.166016215488565821e-01
1.760000000000000000e+03,5.177759066459377557e-01
1.780000000000000000e+03,5.171623950582880935e-01
1.800000000000000000e+03,5.186285688053976495e-01
1.820000000000000000e+03,5.164798247730117975e-01
1.840000000000000000e+03,5.168275221486504645e-01
1.860000000000000000e+03,5.199309962643183791e-01
1.880000000000000000e+03,5.159692829976162409e-01
1.900000000000000000e+03,5.176039433332010331e-01
1.920000000000000000e+03,5.168034589428145420e-01
1.940000000000000000e+03,5.195607267979182042e-01
1.960000000000000000e+03,5.167203838563662055e-01
1.980000000000000000e+03,5.171122885482007936e-01
2.000000000000000000e+03,5.168162505020726938e-01
2.020000000000000000e+03,5.158319451882003026e-01
2.040000000000000000e+03,5.139505603931264766e-01
2.060000000000000000e+03,5.145078753098526470e-01
2.080000000000000000e+03,5.143338941931252517e-01
2.100000000000000000e+03,5.140865473048431555e-01
2.120000000000000000e+03,5.147909467616996748e-01
2.140000000000000000e+03,5.172429957212170137e-01
2.160000000000000000e+03,5.167462046016796373e-01
2.180000000000000000e+03,5.159023787729071220e-01
2.200000000000000000e+03,5.154318005005532610e-01
2.220000000000000000e+03,5.168989533582801776e-01
2.240000000000000000e+03,5.165580371683639038e-01
2.260000000000000000e+03,5.130635494745900971e-01
2.280000000000000000e+03,5.138912358756294596e-01
2.300000000000000000e+03,5.139193432578416099e-01
2.320000000000000000e+03,5.135574720009360439e-01
2.340000000000000000e+03,5.157329797299977647e-01
2.360000000000000000e+03,5.145329860183702753e-01
2.380000000000000000e+03,5.156539000526629835e-01
2.400000000000000000e+03,5.114542810137996387e-01
2.420000000000000000e+03,5.141117428475473483e-01
2.440000000000000000e+03,5.147030511813673881e-01
2.460000000000000000e+03,5.133773652262129117e-01
2.480000000000000000e+03,5.114958945289214132e-01
2.500000000000000000e+03,5.143225423255921580e-01
2.520000000000000000e+03,5.136744877447982915e-01
2.540000000000000000e+03,5.126330392192982588e-01
2.560000000000000000e+03,5.125235481716613473e-01
2.580000000000000000e+03,5.128772181114077400e-01
2.600000000000000000e+03,5.135806707441069596e-01
2.620000000000000000e+03,5.145443279983452634e-01
2.640000000000000000e+03,5.136743735927848942e-01
2.660000000000000000e+03,5.131224627746752143e-01
2.680000000000000000e+03,5.142306885254174231e-01
2.700000000000000000e+03,5.131154328995560787e-01
2.720000000000000000e+03,5.119297275014109694e-01
2.740000000000000000e+03,5.151208262244814096e-01
2.760000000000000000e+03,5.130955061723027066e-01
2.780000000000000000e+03,5.144195323680639254e-01
2.800000000000000000e+03,5.143817218689502591e-01
2.820000000000000000e+03,5.140015425089515810e-01
2.840000000000000000e+03,5.152300908314220163e-01
2.860000000000000000e+03,5.155801553220965561e-01
2.880000000000000000e+03,5.134107497865786351e-01
2.900000000000000000e+03,5.153340092564243635e-01
2.920000000000000000e+03,5.123880043948688678e-01
2.940000000000000000e+03,5.127032752716255137e-01
2.960000000000000000e+03,5.119525366084001217e-01
2.980000000000000000e+03,5.114954367930274470e-01
3.000000000000000000e+03,5.122066327221350690e-01
3.020000000000000000e+03,5.133008956072968587e-01
3.040000000000000000e+03,5.126752982440349049e-01
3.060000000000000000e+03,5.117532601818929328e-01
3.080000000000000000e+03,5.142823440986559191e-01
3.100000000000000000e+03,5.140678625348259478e-01
3.120000000000000000e+03,5.121164268207653025e-01
3.140000000000000000e+03,5.151386865555545036e-01
3.160000000000000000e+03,5.120688345821949872e-01
3.180000000000000000e+03,5.139316225238356184e-01
3.200000000000000000e+03,5.121499040404789982e-01
3.220000000000000000e+03,5.150004906648221192e-01
3.240000000000000000e+03,5.152015468294454115e-01
3.260000000000000000e+03,5.148774132094414702e-01
3.280000000000000000e+03,5.139220301371940636e-01
3.300000000000000000e+03,5.134403550342915290e-01
3.320000000000000000e+03,5.154546516125860789e-01
3.340000000000000000e+03,5.124161039673283957e-01
3.360000000000000000e+03,5.123178733549181851e-01
3.380000000000000000e+03,5.128008012050969677e-01
3.400000000000000000e+03,5.143570194773375848e-01
3.420000000000000000e+03,5.127928566484925010e-01
3.440000000000000000e+03,5.084490817290359121e-01
3.460000000000000000e+03,5.105124737455152273e-01
3.480000000000000000e+03,5.119155221313959059e-01
3.500000000000000000e+03,5.107843725782899025e-01
3.520000000000000000e+03,5.117848715129819093e-01
3.540000000000000000e+03,5.106412656754137913e-01
3.560000000000000000e+03,5.107161428982914808e-01
3.580000000000000000e+03,5.104935168064982376e-01
3.600000000000000000e+03,5.106838939207708483e-01
3.620000000000000000e+03,5.109018045218565174e-01
3.640000000000000000e+03,5.116647095177769833e-01
3.660000000000000000e+03,5.120407922995310335e-01
3.680000000000000000e+03,5.122332455760938430e-01
3.700000000000000000e+03,5.128964669096497397e-01
3.720000000000000000e+03,5.115040407567625902e-01
3.740000000000000000e+03,5.109570294603686946e-01
3.760000000000000000e+03,5.106521061762788749e-01
3.780000000000000000e+03,5.120107540147881275e-01
3.800000000000000000e+03,5.134982915106031109e-01
3.820000000000000000e+03,5.125210675185252196e-01
3.840000000000000000e+03,5.116977606194968997e-01
3.860000000000000000e+03,5.110396957029386122e-01
3.880000000000000000e+03,5.101863825267222152e-01
3.900000000000000000e+03,5.094322588288774378e-01
3.920000000000000000e+03,5.109151541594790791e-01
3.940000000000000000e+03,5.109227469875715633e-01
3.960000000000000000e+03,5.120599025605149235e-01
3.980000000000000000e+03,5.127132802649679855e-01
4.000000000000000000e+03,5.111887811218540634e-01
4.020000000000000000e+03,5.120466476716772908e-01
4.040000000000000000e+03,5.117111885403412552e-01
4.060000000000000000e+03,5.099353271818960476e-01
4.080000000000000000e+03,5.097969937306960908e-01
4.100000000000000000e+03,5.117362138462652199e-01
4.120000000000000000e+03,5.116631014877144334e-01
4.140000000000000000e+03,5.129518739295655383e-01
4.160000000000000000e+03,5.140519530706547657e-01
4.180000000000000000e+03,5.131965400183398085e-01
4.200000000000000000e+03,5.109152702547520297e-01
4.220000000000000000e+03,5.106188089994279089e-01
4.240000000000000000e+03,5.145838368082678027e-01
4.260000000000000000e+03,5.133695186895886886e-01
4.280000000000000000e+03,5.130563697962503555e-01
4.300000000000000000e+03,5.151513526881571492e-01
4.320000000000000000e+03,5.138184923952553440e-01
4.340000000000000000e+03,5.125339458659077252e-01
4.360000000000000000e+03,5.125203564961468006e-01
4.380000000000000000e+03,5.140341443945545263e-01
4.400000000000000000e+03,5.127810204564765550e-01
4.420000000000000000e+03,5.102776740265188016e-01
4.440000000000000000e+03,5.083372473760700005e-01
4.460000000000000000e+03,5.116701154985859867e-01
4.480000000000000000e+03,5.103174280017421793e-01
4.500000000000000000e+03,5.130645598570071630e-01
4.520000000000000000e+03,5.121773876295496741e-01
4.540000000000000000e+03,5.104526717974957606e-01
4.560000000000000000e+03,5.109826741863459088e-01
4.580000000000000000e+03,5.123351357071362910e-01
4.600000000000000000e+03,5.126771724706068456e-01
4.620000000000000000e+03,5.105999441518860316e-01
4.640000000000000000e+03,5.111509847222713843e-01
4.660000000000000000e+03,5.105004048440340281e-01
4.680000000000000000e+03,5.102021772064326832e-01
4.700000000000000000e+03,5.098403313511028490e-01
4.720000000000000000e+03,5.100603398896013108e-01
4.740000000000000000e+03,5.082083186326051827e-01
4.760000000000000000e+03,5.129301324187062194e-01
4.780000000000000000e+03,5.112402626668850480e-01
4.800000000000000000e+03,5.119730881735048422e-01
4.820000000000000000e+03,5.082786050777917675e-01
4.840000000000000000e+03,5.087612768289270226e-01
4.860000000000000000e+03,5.072309919324597960e-01
4.880000000000000000e+03,5.094949414566899426e-01
4.900000000000000000e+03,5.095766913384691676e-01
4.920000000000000000e+03,5.100998667285454591e-01
4.940000000000000000e+03,5.092236992021679232e-01
4.960000000000000000e+03,5.099591329953198082e-01
4.980000000000000000e+03,5.093901082920083701e-01
5.000000000000000000e+03,5.079822837711690520e-01
5.020000000000000000e+03,5.081282997577933891e-01
5.040000000000000000e+03,5.100244641385216493e-01
5.060000000000000000e+03,5.081294934912478078e-01
5.080000000000000000e+03,5.066436790542905300e-01
5.100000000000000000e+03,5.097339787209869133e-01
5.120000000000000000e+03,5.085840050796857081e-01
5.140000000000000000e+03,5.082764750291889344e-01
5.160000000000000000e+03,5.107697855672791443e-01
5.180000000000000000e+03,5.083028103030761136e-01
5.200000000000000000e+03,5.087905266483939704e-01
5.220000000000000000e+03,5.103233638135138417e-01
5.240000000000000000e+03,5.082723275626943593e-01
5.260000000000000000e+03,5.104269462071500119e-01
5.280000000000000000e+03,5.098902938290875708e-01
5.300000000000000000e+03,5.108618560576544398e-01
5.320000000000000000e+03,5.091215112037488222e-01
5.340000000000000000e+03,5.089282928460776567e-01
5.360000000000000000e+03,5.088608187670653482e-01
5.380000000000000000e+03,5.075755368843403170e-01
5.400000000000000000e+03,5.095113750825511767e-01
5.420000000000000000e+03,5.084506545911336994e-01
5.440000000000000000e+03,5.110275770443107879e-01
5.460000000000000000e+03,5.102064067909132250e-01
5.480000000000000000e+03,5.111160928382986190e-01
5.500000000000000000e+03,5.077500834239235816e-01
5.520000000000000000e+03,5.097855667153153858e-01
5.540000000000000000e+03,5.070382161599448212e-01
5.560000000000000000e+03,5.107587460963488590e-01
5.580000000000000000e+03,5.090423814696197757e-01
5.600000000000000000e+03,5.084035473101129465e-01
5.620000000000000000e+03,5.090110126896947307e-01
5.640000000000000000e+03,5.092042752925094451e-01
5.660000000000000000e+03,5.090112041704678569e-01
5.680000000000000000e+03,5.115025134985334843e-01
5.700000000000000000e+03,5.110294261866301646e-01
5.720000000000000000e+03,5.103965239039204294e-01
5.740000000000000000e+03,5.112458314649790392e-01
5.760000000000000000e+03,5.082153607548023366e-01
5.780000000000000000e+03,5.082273746843165574e-01
5.800000000000000000e+03,5.090263271150515800e-01
5.820000000000000000e+03,5.086888272175067449e-01
5.840000000000000000e+03,5.095517139804031093e-01
5.860000000000000000e+03,5.107193770957924039e-01
5.880000000000000000e+03,5.078472169975414285e-01
5.900000000000000000e+03,5.119180414199691054e-01
5.920000000000000000e+03,5.107622500629054318e-01
5.940000000000000000e+03,5.104258524667231178e-01
5.960000000000000000e+03,5.138256924468169728e-01
5.980000000000000000e+03,5.128505072962202815e-01
6.000000000000000000e+03,5.128465738802953089e-01
6.020000000000000000e+03,5.126772025213908179e-01
6.040000000000000000e+03,5.139999908311255750e-01
6.060000000000000000e+03,5.126141026311380466e-01
6.080000000000000000e+03,5.104908797618078475e-01
6.100000000000000000e+03,5.105695614439600405e-01
6.120000000000000000e+03,5.121266827959159995e-01
6.140000000000000000e+03,5.114622338570281590e-01
6.160000000000000000e+03,5.095312412342253294e-01
6.180000000000000000e+03,5.110899285661177904e-01
6.200000000000000000e+03,5.111075297801562778e-01
6.220000000000000000e+03,5.123530096656583321e-01
6.240000000000000000e+03,5.138610119862166981e-01
6.260000000000000000e+03,5.120586424564244066e-01
6.280000000000000000e+03,5.148326550823807413e-01
6.300000000000000000e+03,5.122952886326730404e-01
6.320000000000000000e+03,5.105936322752545609e-01
6.340000000000000000e+03,5.108217798491344608e-01
6.360000000000000000e+03,5.098876710025010972e-01
6.380000000000000000e+03,5.109122881111831660e-01
6.400000000000000000e+03,5.125371277623663735e-01
6.420000000000000000e+03,5.107522190604437684e-01
6.440000000000000000e+03,5.118620963172091365e-01
6.460000000000000000e+03,5.109507409939441080e-01
6.480000000000000000e+03,5.108294043066914369e-01
6.500000000000000000e+03,5.109765874475793446e-01
6.520000000000000000e+03,5.094441260560517160e-01
6.540000000000000000e+03,5.110333938282294319e-01
6.560000000000000000e+03,5.102381757792365802e-01
6.580000000000000000e+03,5.101735184934340639e-01
6.600000000000000000e+03,5.094832760811678352e-01
6.620000000000000000e+03,5.093165222371400791e-01
6.640000000000000000e+03,5.135620442292031518e-01
6.660000000000000000e+03,5.140499328833760817e-01
6.680000000000000000e+03,5.111857488108175751e-01
6.700000000000000000e+03,5.100549784378664020e-01
6.720000000000000000e+03,5.107521498871980814e-01
6.740000000000000000e+03,5.145510959977417365e-01
6.760000000000000000e+03,5.134792231263916040e-01
6.780000000000000000e+03,5.120319673931651439e-01
6.800000000000000000e+03,5.103554664669770480e-01
6.820000000000000000e+03,5.128942507881532054e-01
6.840000000000000000e+03,5.133160010151401886e-01
6.860000000000000000e+03,5.132644945999813579e-01
6.880000000000000000e+03,5.129019078031280543e-01
6.900000000000000000e+03,5.143173187152041415e-01
6.920000000000000000e+03,5.120478897654238137e-01
6.940000000000000000e+03,5.132217796042080060e-01
6.960000000000000000e+03,5.120225384262295787e-01
6.980000000000000000e+03,5.123085673809600893e-01
7.000000000000000000e+03,5.133833758620912624e-01
7.020000000000000000e+03,5.128461636536647550e-01
7.040000000000000000e+03,5.145856446036305432e-01
7.060000000000000000e+03,5.168381954574867709e-01
7.080000000000000000e+03,5.137816532718513240e-01
7.100000000000000000e+03,5.118302736730524494e-01
7.120000000000000000e+03,5.099170755640942687e-01
7.140000000000000000e+03,5.098569021423537961e-01
7.160000000000000000e+03,5.097463081064357304e-01
7.180000000000000000e+03,5.115735311250507733e-01
7.200000000000000000e+03,5.114289073768856220e-01
7.220000000000000000e+03,5.130478212188309683e-01
7.240000000000000000e+03,5.123845230538240925e-01
7.260000000000000000e+03,5.101685897041078332e-01
7.280000000000000000e+03,5.106661563652094005e-01
7.300000000000000000e+03,5.133434638655193227e-01
7.320000000000000000e+03,5.131832646754317384e-01
7.340000000000000000e+03,5.106310168817739248e-01
7.360000000000000000e+03,5.152853190081371215e-01
7.380000000000000000e+03,5.146867571270203889e-01
7.400000000000000000e+03,5.105168413564584728e-01
7.420000000000000000e+03,5.119794697490601676e-01
7.440000000000000000e+03,5.123571510708455623e-01
7.460000000000000000e+03,5.134142000291532781e-01
7.480000000000000000e+03,5.110793903289664319e-01
7.500000000000000000e+03,5.136244054996262909e-01
7.520000000000000000e+03,5.148185500308285478e-01
7.540000000000000000e+03,5.139991458239220323e-01
7.560000000000000000e+03,5.147642771889299196e-01
7.580000000000000000e+03,5.106985526725560387e-01
7.600000000000000000e+03,5.109267834821815679e-01
7.620000000000000000e+03,5.120535893701855246e-01
7.640000000000000000e+03,5.161275031582902573e-01
7.660000000000000000e+03,5.167422105828899381e-01
7.680000000000000000e+03,5.150920813051711455e-01
7.700000000000000000e+03,5.141951479292652394e-01
7.720000000000000000e+03,5.144845832935300844e-01
7.740000000000000000e+03,5.113813440599589422e-01
7.760000000000000000e+03,5.135715624344071584e-01
7.780000000000000000e+03,5.131590803559328284e-01
7.800000000000000000e+03,5.111864843532444302e-01
7.820000000000000000e+03,5.100249507794023529e-01
7.840000000000000000e+03,5.125922827933894199e-01
7.860000000000000000e+03,5.111708915824577648e-01
7.880000000000000000e+03,5.098342236763085955e-01
7.900000000000000000e+03,5.141556185600778539e-01
7.920000000000000000e+03,5.122613278341116017e-01
7.940000000000000000e+03,5.123374617414641063e-01
7.960000000000000000e+03,5.111568785933345849e-01
7.980000000000000000e+03,5.111008297430797986e-01
8.000000000000000000e+03,5.120699985852547043e-01
8.020000000000000000e+03,5.147566747852544422e-01
8.040000000000000000e+03,5.144716321636628731e-01
8.060000000000000000e+03,5.146244182678562096e-01
8.080000000000000000e+03,5.172067855806583569e-01
8.100000000000000000e+03,5.186829155131654767e-01
8.120000000000000000e+03,5.144491608408424677e-01
8.140000000000000000e+03,5.157022613957333856e-01
8.160000000000000000e+03,5.156125250392590287e-01
8.180000000000000000e+03,5.100047641061291603e-01
8.200000000000000000e+03,5.139569640753316460e-01
8.220000000000000000e+03,5.110063363353236632e-01
8.240000000000000000e+03,5.124883065684854300e-01
8.260000000000000000e+03,5.093119924115991903e-01
8.280000000000000000e+03,5.145610248917468210e-01
8.300000000000000000e+03,5.129620538691770371e-01
8.320000000000000000e+03,5.094911476010705043e-01
8.340000000000000000e+03,5.108912561992274837e-01
8.360000000000000000e+03,5.127494465608729568e-01
8.380000000000000000e+03,5.121989996153876179e-01
8.400000000000000000e+03,5.147667929536891007e-01
8.420000000000000000e+03,5.147668322998965040e-01
8.440000000000000000e+03,5.152059051977758708e-01
8.460000000000000000e+03,5.140206607477779688e-01
8.480000000000000000e+03,5.166017593697110888e-01
8.500000000000000000e+03,5.111066963831393251e-01
8.520000000000000000e+03,5.161568433364571717e-01
8.540000000000000000e+03,5.150914611963434142e-01
8.560000000000000000e+03,5.171779184968712251e-01
8.580000000000000000e+03,5.152363440219787094e-01
8.600000000000000000e+03,5.123919124155684734e-01
8.620000000000000000e+03,5.164071398592714468e-01
8.640000000000000000e+03,5.151831106623813161e-01
8.660000000000000000e+03,5.176129462298748596e-01
8.680000000000000000e+03,5.203303131949245097e-01
8.700000000000000000e+03,5.224893622077225741e-01
8.720000000000000000e+03,5.215209737082538988e-01
8.740000000000000000e+03,5.183259629343023311e-01
8.760000000000000000e+03,5.214723250055262049e-01
8.780000000000000000e+03,5.215472069950971568e-01
8.800000000000000000e+03,5.248605670003181345e-01
8.820000000000000000e+03,5.196970405194705211e-01
8.840000000000000000e+03,5.147607443800242821e-01
8.860000000000000000e+03,5.182937861242434829e-01
8.880000000000000000e+03,5.205588204414763887e-01
8.900000000000000000e+03,5.195779681075041179e-01
8.920000000000000000e+03,5.190641675648155484e-01
8.940000000000000000e+03,5.175335428266067961e-01
8.960000000000000000e+03,5.109885844600421390e-01
8.980000000000000000e+03,5.169363761260947765e-01
9.000000000000000000e+03,5.154538229403777816e-01
9.020000000000000000e+03,5.124029039567865595e-01
9.040000000000000000e+03,5.080526819772729352e-01
9.060000000000000000e+03,5.120365404172689816e-01
9.080000000000000000e+03,5.145618247345553620e-01
9.100000000000000000e+03,5.155092949140006597e-01
9.120000000000000000e+03,5.139474426593054757e-01
9.140000000000000000e+03,5.115219124668591855e-01
9.160000000000000000e+03,5.195570368501962744e-01
9.180000000000000000e+03,5.178670083197038920e-01
9.200000000000000000e+03,5.146531751948332234e-01
9.220000000000000000e+03,5.192322953662733553e-01
9.240000000000000000e+03,5.204950045336103059e-01
9.260000000000000000e+03,5.114831411223651481e-01
9.280000000000000000e+03,5.241115352157873497e-01
9.300000000000000000e+03,5.222855326218950323e-01
9.320000000000000000e+03,5.174772007925207973e-01
9.340000000000000000e+03,5.117037832070161496e-01
9.360000000000000000e+03,5.161709563838920989e-01
9.380000000000000000e+03,5.138422636848621883e-01
9.400000000000000000e+03,5.200789565589020169e-01
9.420000000000000000e+03,5.179055833705374923e-01
9.440000000000000000e+03,5.177010613796225735e-01
9.460000000000000000e+03,5.197673474647842573e-01
9.480000000000000000e+03,5.260873072343140722e-01
9.500000000000000000e+03,5.203617228187787935e-01
9.520000000000000000e+03,5.172320989525789336e-01
9.540000000000000000e+03,5.200671538619868750e-01
9.560000000000000000e+03,5.145268599043371083e-01
9.580000000000000000e+03,5.121121780799420264e-01
9.600000000000000000e+03,5.001349130807343224e-01
9.620000000000000000e+03,5.078252889757282063e-01
9.640000000000000000e+03,5.050396448750605893e-01
9.660000000000000000e+03,5.139232218110521000e-01
9.680000000000000000e+03,5.094140623345629892e-01
9.700000000000000000e+03,5.113201858214935225e-01
9.720000000000000000e+03,5.167521811697702860e-01
9.740000000000000000e+03,5.021554230648327399e-01
9.760000000000000000e+03,5.016555868458270062e-01
9.780000000000000000e+03,5.073215885259272362e-01
9.800000000000000000e+03,5.015969652906736576e-01
9.820000000000000000e+03,4.886104356068493582e-01
9.840000000000000000e+03,5.001571542290039751e-01
9.860000000000000000e+03,4.970072701649130842e-01
9.880000000000000000e+03,5.080790371783749926e-01
9.900000000000000000e+03,4.919417078979848590e-01
9.920000000000000000e+03,4.879901871982202377e-01
9.940000000000000000e+03,5.002682794854053094e-01
9.960000000000000000e+03,5.376461762406035128e-01
9.980000000000000000e+03,4.968921392251717251e-01
